date,value
1924-01-01,295.000
1924-01-31,286.119
1924-03-01,300.250
1924-03-31,278.347
1924-04-30,272.453
1924-05-30,268.558
1924-06-29,308.770
1924-07-29,321.936
1924-08-28,314.043
1924-09-27,309.155
1924-10-27,292.212
1924-11-26,297.357
1924-12-26,295.470
1925-01-25,274.479
1925-02-24,301.750
1925-03-26,272.694
1925-04-25,283.880
1925-05-25,287.019
1925-06-24,320.385
1925-07-24,325.557
1925-08-23,315.608
1925-09-22,313.721
1925-10-22,293.668
1925-11-21,295.808
1925-12-21,299.970
1926-01-20,275.844
1926-02-19,297.185
1926-03-21,261.914
1926-04-20,279.220
1926-05-20,297.553
1926-06-19,319.950
1926-07-19,329.198
1926-08-18,319.200
1926-09-17,316.290
1926-10-17,296.137
1926-11-16,305.390
1926-12-16,308.560
1927-01-15,286.347
1927-02-14,317.956
1927-03-16,300.810
1927-04-15,318.217
1927-05-15,312.245
1927-06-14,333.740
1927-07-14,339.984
1927-08-13,335.032
1927-09-12,335.169
1927-10-12,309.827
1927-11-11,318.110
1927-12-11,318.240
1928-01-10,306.125
1928-02-09,323.604
1928-03-10,298.205
1928-04-09,306.500
1928-05-09,317.868
1928-06-08,352.762
1928-07-08,358.021
1928-08-07,352.027
1928-09-06,343.980
1928-10-06,322.613
1928-11-05,330.940
1928-12-05,330.050
1929-01-04,303.523
1929-02-03,323.137
1929-03-05,294.534
1929-04-04,315.187
1929-05-04,329.694
1929-06-03,363.735
1929-07-03,365.938
1929-08-02,357.860
1929-09-01,343.603
1929-10-01,329.333
1929-10-31,350.058
1929-11-30,341.960
1929-12-30,311.186
1930-01-29,333.990
1930-02-28,314.531
1930-03-30,328.070
1930-04-29,339.555
1930-05-29,370.668
1930-06-28,374.949
1930-07-28,370.967
1930-08-27,363.880
1930-09-26,346.446
1930-10-26,353.828
1930-11-25,340.515
1930-12-25,316.837
1931-01-24,343.897
1931-02-23,320.201
1931-03-25,337.953
1931-04-24,337.052
1931-05-24,367.275
1931-06-23,380.915
1931-07-23,375.877
1931-08-22,367.718
1931-09-21,350.199
1931-10-21,358.656
1931-11-20,352.560
1931-12-20,338.135
1932-01-19,359.087
1932-02-18,321.746
1932-03-19,328.125
1932-04-18,348.056
1932-05-18,385.725
1932-06-17,399.437
1932-07-17,391.250
1932-08-16,386.188
1932-09-15,359.193
1932-10-15,370.827
1932-11-14,361.570
1932-12-14,331.397
1933-01-13,363.950
1933-02-12,346.309
1933-03-14,361.100
1933-04-13,364.385
1933-05-13,398.050
1933-06-12,399.256
1933-07-12,395.222
1933-08-11,394.330
1933-09-10,365.110
1933-10-10,373.652
1933-11-09,361.200
1933-12-09,336.133
1934-01-08,364.639
1934-02-07,342.707
1934-03-09,360.722
1934-04-08,355.604
1934-05-08,379.952
1934-06-07,387.473
1934-07-07,398.160
1934-08-06,394.102
1934-09-05,365.796
1934-10-05,377.541
1934-11-04,368.195
1934-12-04,340.900
1935-01-03,377.988
1935-02-02,349.619
1935-03-04,357.153
1935-04-03,362.580
1935-05-03,395.505
1935-06-02,402.008
1935-07-02,398.992
1935-08-01,389.620
1935-08-31,366.472
1935-09-30,379.331
1935-10-30,358.280
1935-11-29,348.877
1935-12-29,368.109
1936-01-28,347.029
1936-02-27,355.658
1936-03-28,356.860
1936-04-27,393.125
1936-05-27,424.104
1936-06-26,409.383
1936-07-26,391.460
1936-08-25,373.523
1936-09-24,385.379
1936-10-24,381.270
1936-11-23,354.784
1936-12-23,379.437
1937-01-22,357.194
1937-02-21,371.200
1937-03-23,369.211
1937-04-22,399.245
1937-05-22,412.216
1937-06-21,410.240
1937-07-21,397.575
1937-08-20,366.724
1937-09-19,370.076
1937-10-19,370.220
1937-11-18,340.392
1937-12-18,384.429
1938-01-17,351.370
1938-02-16,356.865
1938-03-18,352.715
1938-04-17,392.535
1938-05-17,400.198
1938-06-16,393.913
1938-07-16,389.771
1938-08-15,361.994
1938-09-14,371.806
1938-10-14,381.625
